title,txt,rating,revdate
Amazing !,"I researched every known dishwasher on the market and kept coming back to Bosch. I needed something quiet so I didn't have to turn my tv up in the next room or wait til my kids were awake to not risk waking them up. After installation I was eager to put a load on . I read all instructions and used recommended cleaner . Turned it on and waiting patiently . I immediately panicked and thought it was broken or malfunctioning . It wasn't making any noise !!! I re read the instructions and noticed it said if the red light was shining on the floor then it was on and working . Sure enough if I leaned my ear in super close , I could hear a tiny amount of noise ! Wow! That's quiet . My dishes came out cleaner than I ever imagined ! So happy I went with this model ! [This review was collected as part of a promotion.]",100,"November 1, 2020"
Amazingly dishwasher,"Absolutely love this stylish thought out  dishwasher.  It is so extremely quiet.  It does an amazing job cleaning. The dish in placement order is perfect, and the extra top drawer comes in super handy.  I recommend this unit highly. [This review was collected as part of a promotion.]",100,"October 25, 2020"
Massive upgrade from our old one!,Works great! No longer dread opening the washer to see how dirty everything still is after a cycle. The auto air feature is great. Very happy with the purchase so far! [This review was collected as part of a promotion.],100,"October 16, 2020"
Problem with lower rack,A little worried about loading lower rack which falls ofc track and hard to re-align / lift when full of dishes. Seems to wash ok so don’t want to pay for a service call. Also has a bend in side and funny smell after washing.,80,"October 2, 2020"
Best Dishwasher by Far,"Loved the design and quietness of the machine, we made and thoughtful design specially the three layers with the top layer where you can placed small and big items that don't fit into the side utensil tray. I'd strongly recommend the machine for those who want to update or looking for a new dishwasher! [This review was collected as part of a promotion.]",100,"September 24, 2020"
Bosch 500 Series Dishwasher,"Thanks goodness Bosch has a light to tell you the dishwasher is running - without it you would never know!  This thing is super quiet and gets dishes, glasses AND plastic containers  CLEAN!  We are very happy with our purchase and also really like the ""3rd drawer"" for silverware.  My wife and I definitely recommend! [This review was collected as part of a promotion.]",100,"September 22, 2020"
"It will be nice, If Bosch has smart functionality","I love Bosch dishwasher. Due to COVID 19, major retailers stores that sell  Bosch dishwashers were out of stock. It took me 3 months; finally, I got the Bosch 500. The installation is simple. During the wash cycle, the machine is quiet, perform well.  I am sure I will buy Bosch dishwasher in future as needed. Only one suggestion for now , I hope Bosch design team consider to add smart functionality design. Therefore, users do not need to press too many buttons in order to make it run. [This review was collected as part of a promotion.]",80,"September 11, 2020"
Best dishwasher ever!!!,"I bought this dishwasher 2 months ago and I'm so impressed with the quality and the performance. My dishes have never been so clean and it's so quite that thanks to the red light it has at the bottom, you can tell it's running. I'm so glad I've decided to go with this brand. [This review was collected as part of a promotion.]",100,"September 10, 2020"
BREATH OF FRESH AIR,We purchased this dishwasher after a warranty fiasco with a different brand name dishwasher.  I wish we would have purchased this Bosch dishwasher in the first place.  It is wonderful! Everything comes clean with a sparkly finish!  My daughter ( picture attached) especially loves it because she no longer has to do the dishes by hand!  Thank you Bosch for a great dishwasher!! [This review was collected as part of a promotion.],100,"September 8, 2020"
Love our Bosch dishwasher,"We got a Bosch dishwasher because it was top rated in consumer reports and they offered a rebate for the installation.  It was a great decision.  The quality of the materials is exceptional.  Even the inside of the unit is stainless steel. It is very, very quiet and easy to use.  We really like the adjustable shelves and the flat top shelf that we can put spatulas and big spoons on for cleaning.  The cleaning is exceptional. I have used a white plastic coffee cup for years. (I know but, I have 5 of them.  They are thick and oversized.  I've had them for probably 15 or 20 years).  Anyway, they are white and even though I clean them they have stains on the plastic. Without doing anything different, other that getting the Bosch, the inside of the cups are clean. I didn't think it was possible.  
  The Bosch dishwasher is everything you would want in a dishwasher.  Quality made, adjustable shelves, very quite, works exceptionally and made in the USA. [This review was collected as part of a promotion.]",100,"August 30, 2020"
