title,txt,rating,revdate
A great dishwasher!,"We recently had to replace our old dishwasher from another manufacturer.  I had heard good things about Bosch dishwashers so wanted to to buy one as a replacement.  This new Bosch is the best ever!  It gets super hot and cleans so much better.  Also somehow it is even quieter then our old one, we can only tell it is on when we hear the drain.  Also really like the physical buttons on the front and countdown timer as it makes it easy to see the settings and know when it will be complete. [This review was collected as part of a promotion.]",100,"October 12, 2020"
Dishwasher Standout,"This is one quiet dishwasher.  We love the delay setting so it pretty much runs after we go to bed.  That said, we can run it when we are watching TV and not be bothered by the sound.  After having installed 4 other makes of dishwashers I must say that this dishwasher was by far the easiest to install.  The leveling controls are simple and really well designed.  We are very pleased with the cleaning results of the dishwasher and yes, we do not have to rinse the dishes.  Simply put, we are impressed. [This review was collected as part of a promotion.]",100,"September 28, 2020"
Surprisingly spacious,"We bought this Bosch 300 dishwasher to replace a 7 year old dishwasher. We researched various brands and Bosch kept being listed first in various categories. But we chose this particular model due to one important factor (for us), heated drying! Most Bosch dishwashers use a system of superheated rinse water, then ""pop"" the door and allow natural convection to dry the dishes. That would not cut it for us! From the initial cycle, this dishwasher has lived up to it's well deserved reputation. The dishes are clean, the pots and pans too. The automatic setting is what we use the most, but you may use alternative settings to clean too. The interior space is ample for loading large pots and the middle rack is adjustable for plates and bowls. The top rack has been a hidden gem, it allows you to place serving utensils and smaller items to be cleaned without slipping out of place when hit by a jet of water. The front controls are ok'd-school red LED, with countdown timer. A dedicated power button will keep it from accidentally starting up. My wife and I are very pleased with it! [This review was collected as part of a promotion.]",100,"September 27, 2020"
Air dry feature is the BEST,While remodeling we replaced our 11-year-old Bosch with another Bosch of course. The old one worked just fine but didn't match. I have to say how much I love this new washer. Three racks are perfect. It keeps lids in place.The auto air feature is exactly what I need. Improved rack layout holds more dishes than before. Cleans. Silent. [This review was collected as part of a promotion.],100,"September 26, 2020"
Our new Diswasher rocks!,"We love our new BOSCH diswasher, 300 Series. It has all the features I've been looking for and works like a charm! I love the buttons on front, not hidden. I can always see what cycle is running and it's easy to tell when it's done. It's quiet as a mouse and it's simple to operate. [This review was collected as part of a promotion.]",100,"September 15, 2020"
Love my new Dishwasher,I did a lot of research for over six months to find the perfect dishwasher in my price range. I need up choosing this one and I do not regret my decision at all. It is so quiet I can't even tell if it's running or not. My dishes come out perfectly clean no matter which cycle are use. This dishwasher holds so many more dishes than my 10-year-old GE. Are used to have to run my dishwasher every day and I can go almost 3to 4 days without running it. [This review was collected as part of a promotion.],100,"August 10, 2020"
Dr. Candace A. Strawn,"Excellent, very quiet dishwasher!!!  The door is strong enough to hold our Boston Terrier's weight!",100,"July 30, 2020"
Perfection!,"I was looking for an appliance that had the reputation, style and functionallity.  I found the Bosch 300 Series to be the dishwasher met all 3 criteria.  I am so happy I chose a Bosch dishwasher, as it has met and surpass my expectations! [This review was collected as part of a promotion.]",100,"July 27, 2020"
Crack above front control panel,"I purchased this in Jan. with an extended warranty. There is now a crack in the stainless above the control panel and the rinse aid leaks.  I called and was told I would have to pay $100 to replace the part because it is considered ""wear and tear.""  I can't understand how this is wear and tear, definitely a defect in the construction. I don't have any problems with the way it operates, just this crack.",40,"July 22, 2020"
Great dishwasher!,"We replaced our old leaking dishwasher with a Samsung.  It was so bad we returned after 4 months and ordered this Bosch model.  The first one we had to refuse delivery because the outter insulation pad was soaking wet and dripping all over the floor.  After many phone calls we got the replacement Bosch.  It works amazingly compared to the Samsung.  I definitely recommend this model.  I just wish we had a better purchasing experience.  We are a family of 5 and we run our dishwasher daily, especially during Quarantine.  I think some days we could run it twice!  We definitely put household appliances to the test. [This review was collected as part of a promotion.]",100,"July 1, 2020"
Great machine. Surprisingly large amount of space....,Great machine. Surprisingly large amount of space.,100,"June 23, 2020"
The Best!,"Finally I have a dishwasher in our home. Absolutely love this dishwasher, especially the sanitize cycle! It is so quiet. [This review was collected as part of a promotion.]",100,"June 19, 2020"
"Yes, like the features it has and how quiet it is..","Yes, like the features it has and how quiet it is..",100,"May 12, 2020"
Totally wonderful,I cannot tell how well my new Bosch 300 series cleans my dish and pots.I have was some items and now they look band new after having some of them for years. It always state how quiet this products is but I really never know when it running.You can believe I will always have a Bosch Dishwasher. [This review was collected as part of a promotion.],100,"May 9, 2020"
This dishwasher is so quiet ... you can barely hear anything! It's very efficient in cleaning and...,"This dishwasher is so quiet ... you can barely hear anything! It's very efficient in cleaning and has great interior features for placement of dishes, glasses, silverware, etc.... I love the extra tray on top! It's a very solid dishwasher for the price. I'm happy I chose this model!",100,"May 5, 2020"
Unfortunately multiple issues with this item and the installation: arrived with installers withou...,"Unfortunately multiple issues with this item and the installation: arrived with installers without an electrical cord, was then told by installers couldn't do install because under sink water valve was dripping (however hadn't been prior to him turning it). Why would a purchase come without an electrical cord? weird. After paying AGAIN to have it installed, it didn't dry dishes, and smelled inside, left food at bottom. The instructions were so difficult to understand due to mismatched diagrams, no instructions how to operate, had to finally call in, was then met by a very annoyed lady (I wasn't rude or anything, i just think she didn't like her on call job since it was after 5pm PST when I called), she couldn't explain how to operate, was frustrated, then said, give it some time to run a few times in order to dry the dishes. End result=if you want your dishes dry you have to add on that function which will add on another 40 min to the cycle. Really? Almost 3 hours to run the sanitize cycle? Bummer! purchase was 2/23/20 but wanted to wait until had info on dishwasher quality before submitting this.",60,"May 4, 2020"
"Does not dry dishes, but is quiet and easy to instal. Pro it’s very easy to install, I Am a woman...","Does not dry dishes, but is quiet and easy to instal. Pro it’s very easy to install, I Am a woman I installed it myself, extremely quiet, cons dishes remain ridiculously wet and it was a super tight squeeze to get under cabinet. You can install it no problem if there is already an electrical outlet under cabinet next to washer cabinet from prior dishwasher. It comes with all extra parts you don’t need to purchase anything additional. I recommend you run it before sliding it into cabinet to check for leaking water. Super tight squeeze, (see pictures) I have an older home under cabinet is extract minimum space required. I am replacing floor soon so I was able to cut some flooring out in front of dishwasher cabinet space (see pictures) to drop it down low enough to slide under counter. There is a lip on the back side so I had to slightly tip it to get under counter edge(see pictures). I used two wide butcher knives between insulation and counter top (see picture)to reduce insulation bunching up as I slid dishwasher under cabinet. BIG flaw dishes remain VERY VERY WET (see picture) this is not what I expected. I ran it on extra dry, dishes are MORE WET than when I hand wash and rinse in hot water. I’ll try the sanitize cycle next hoping that will fix the problem. I will update if I resolve the LACKING ABILITY TO DRY dishes problem.",80,"April 25, 2020"
Top Notch Clean Dishes and Runs quietly,We've had our dishwasher now for nearly 6 months and everything comes out crisp and clean. Sometimes I need to double check if it's on because it runs so quietly. Running smoothly! [This review was collected as part of a promotion.],100,"April 21, 2020"
Finally ! Our dishes are very clean. After years of struggling with a leaking machine that never ...,"Finally ! Our dishes are very clean. After years of struggling with a leaking machine that never got our dishes clean after multiple cycles, we bought this machine. We waited too long. The dishes come out very clean and sparkly. No leaks. Very happy with it.",100,"April 21, 2020"
