title,txt,rating,revdate
Piece of Junk,The wheels fell off and melted with the first use! Then the entire piece that holds the wheels in place comes off EVER TIME I pull out the bottom rack!! Wheels fall off every time we use it and now multiple wheels have melted!,20,"September 9, 2020"
Overall excellent,"I have only had the dishwasher running for 4 days.   The dishwasher was straightforward and easy to install.   I had the previous model which lasted 7 years in a house of 5.   Which I can say is actually a long time based on the number of washes.   I have actually decided to replace the failing pump on that model and put it behind the the bar in the basement.  So far I am not disappointed with the replacement being an improved model.   I can see GE has improved on the circuit board, controls and added features from the older model.   I gave it 4 stars only because the evaluation time isn’t there yet but the dishes come out gleaming. I would recommend the washer.",80,"September 1, 2020"
not stainless steel!,"Very sad to state that this ""stainless steel"" started to rotten within a few months after the purchase. This is not stainless steel. My water faucet does not have any problems after 22 yrs of usage, but this dishwasher looks awful. I frequently scrub it w/ a toothbrush & tried different chemicals & natural cleaners, which helps some, but the rusty spots just don't come off. 
The dishwasher also has very long running cleaning cycles, and if I choose a shorter one, then the soap does not come out from the soap compartment.",20,"August 9, 2020"
This is a quality dishwasher. It is quiet and cleans dishes throughly. Definitely worth the buy!,This is a quality dishwasher. It is quiet and cleans dishes throughly. Definitely worth the buy!,100,"July 30, 2020"
Original Fill funnel gasket not a good design,"The original fill funnel gasket (located on the left side of the dishwasher where the water comes into the dishwasher from the water hose) is not a good design and came loose on my dishwasher, causing a leak all underneath and ruining my floor. The threads on the funnel gasket part are not deep enough to catch and hold securely, so there is not a good seal and pops off easily, causing it to leak all over. I just ordered a new part, and I see the entire fill funnel gasket kit is a new design. I am glad to see that, and hoping it works better than the original one that used to come with the dishwasher. I am very upset that this poor design has now ruined my kitchen floor and ceiling of the downstairs level of my house. Poor design.",60,"July 29, 2020"
The dishwasher washes well once you can get it to lock when shut. It is very difficult to get the...,The dishwasher washes well once you can get it to lock when shut. It is very difficult to get the door to latch without holding it until the unit has started into the cycle.,40,"June 27, 2020"
Arrived as expected. Easy enough for my husband to install. Looks great and is super quiet. Only ...,"Arrived as expected. Easy enough for my husband to install. Looks great and is super quiet. Only complaint, it washes for a long time!",100,"June 25, 2020"
Runs very quite,Runs very quite,100,"June 16, 2020"
Lower Rack Wheels Fall Off,"Lets try this again.  GE did not like my last review because of my comment about the design of the lower rack wheels.  The lower rack wheels that I have on my new GE Adora appliance are not at all like the design shown in your parts catalog for my model.  There is not cover plate to hold the carriage wheels on.  Other than this, the machine works very well.  Design on this lower rack wheel carriage is different from the one on your parts replacement catalog for this same model.",60,"June 14, 2020"
Poor quality stainless front,"Compared to the other appliances i bought at the same time, this is tough to keep looking nice.  Streaks and water drips and finger prints tough to polish out.  Not the same quality stainless steel as my LG fridge or my Samsung stove. I had no reason to suspect inferior quality but it is.",60,"May 24, 2020"
Great features and sleek design!,This dishwasher cleans really well. Very powerful but also quiet  I just got it installed today and have ran a cycle with really dirty dishes to put it to the test and it did very well! Dishes were spotless!!,100,"May 22, 2020"
Great features,I absolutely love this dishwasher and it’s pretty too,100,"May 19, 2020"
PRIME THE PUMP!!  Then it works!,"It works great after priming the pump.  Tablets work better than gel detergent, unless using twice as much of the latter.  Quiet!  I would buy it again.",80,"May 7, 2020"
Best dishwasher at half the price.,"My Daughter got a GE last year, I installed it for her no issues worked great. This year when my dishwasher started acting up, by getting very noisy, and wheezing a lot sounded like it had the virus lol. 

I didnt hesitate to get the GE.",100,"April 20, 2020"
"Beautufuk, affordable and great quality!","Great buy!  I would totally recommend.  It is quiet, it looks great and for the price it’s a great buy!",100,"April 15, 2020"
BIG Disappointment,"Spent much time making sure level, it replaced a more expensive dishwasher that worked fine at the same location. Door has been a problem closing right to get machine to come on. Delayed timer does not work correctly. Something drips out of the circular compartment on the inside of the door and there is no information on the purpose of that opening anywhere. Dishes do not get cleaned well at all.",20,"April 9, 2020"
Love the steam option for sanitizing,"Slate finish and recessed 
Controls make for a beautiful appearance",100,"March 17, 2020"
So far so good! It's quiet and dishes come out clean and dry. Easy to load and easy to operate. I...,So far so good! It's quiet and dishes come out clean and dry. Easy to load and easy to operate. Initially I thought I wouldn't use or like the 3rd rack but it most definitely comes in handy.,100,"March 10, 2020"
"Dishwasher is quiet, runs well, looks great. The utensil sprayers and top extra rack are a nice t...","Dishwasher is quiet, runs well, looks great. The utensil sprayers and top extra rack are a nice touch. Only negatives are figuring out where to put the extra rack if not needed and have tall things in top rack, and installation was a little difficult at one point. During installation, the drain hose didn't want to stay on its clip/hangar, to keep it high, and rubber spacers for around dishwasher were kind of difficult lining up perfectly. Overall, would gladly purchase again at this point",80,"February 11, 2020"
Amazing!!!,"We absolutely LOVE this dishwasher. I love all of the amazing features like the water jets that go into the dishwasher caddy. And the 3rd top rack for cup lids, chef knives or serving spoons. The top rack also can hold tall cups! I have already recommended this dishwasher to a friend who is shopping for one.",100,"February 2, 2020"
Motor is really quiet,The motor is really quiet I'm impressed on how fast the cycle goes through my dishes look so clean.,100,"January 28, 2020"
"GE Adora Top Control Tall Tub Dishwasher in ssw/sstuband steam cleaning,48dBA.","It was ordered on Jan 2 and delivered on the 10th .  It replaced an older GE dishwasher.  I can not be happier with it.  The dishes come out squeaky clean!! At first I didn't think I would really use the top shelfbut have found it very handy for small dishes, pizza cutter and other utensils as well as silverware.  I am so glad I have that feature.  I haven't used the feature of single wash load - top or bottom.  This product exceeds my expectations .  I am beyond happy!!",100,"January 13, 2020"
Just what we needed. I like the several settings available with the different specific applicatio...,"Just what we needed. I like the several settings available with the different specific applications for different modes and actions to do the wash. Most of the time I don't use the heat dry setting and it even has a dry boost. I also like the water heater boost application. I also prefer the stainless steel tub inside over the white finished ones I've had before. Now, let's talk about how quiet it is..... At first I was concerned whether it was on or not. I had to get used to the fact that it is so quiet. There's a second shallow extra top rack that I use of kitchen knives and spatulas----super flat items only, that works really well. The main dish rack at the bottom has adjustable legs to hold the dishes whether they are large or small. The second row is fixed. And, of course, the main thing is that so far it gets everything clean. I feel good about being able to easily remove the filter at the bottom to rinse off any residue on it and it is easy to just rinse it off and reinstall it. The silverware utensils basket has three separate lids to hold small items in basket if needed. I really like everything about it.",100,"December 10, 2019"
Super clean,"This machine is quiet, sleek and cleans so good. Love the 3rd rack too.",100,"November 12, 2019"
